Year,Location,Plant_Date,County,Date,LocMinTempF,LocMaxTempF,CIMIS,StatMinTempF,StatMaxTempF,HeadM105,HeadM206,HeadM209,HeadM210,HeadM211,HeadM401,,,,
2016,BosworthRue,5/16/16,Yuba,2016-06-21,60.6,94.9,Verona235,52.1,96.7,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-06-22,60.8,89.6,Verona235,57.3,89.9,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-06-23,59.8,86.3,Verona235,55.5,89.4,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-06-24,59.9,86.8,Verona235,53.6,88.1,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-06-25,60.4,93.2,Verona235,53.6,98.0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-06-26,65.2,97.1,Verona235,56.8,102.4,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-06-27,67.3,100.4,Verona235,57.7,102.5,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-06-28,67.8,100.2,Verona235,57.5,101.4,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-06-29,67.3,95.4,Verona235,55.0,97.6,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-06-30,64.2,95.7,Verona235,50.6,99.2,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-01,69.2,96.4,Verona235,59.3,93.2,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-02,65.2,87.2,Verona235,58.9,87.4,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-03,62.8,87.5,Verona235,57.1,88.7,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-04,60.9,84.2,Verona235,55.9,86.2,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-05,58.6,81.9,Verona235,56.7,83.2,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-06,57.1,80.9,Verona235,54.6,84.0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-07,58.4,81.4,Verona235,55.7,83.5,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-08,57.2,85.3,Verona235,55.2,87.2,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
